#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
,private fund/company,,,,,
72.22,Roofstock Inc (fka DwellConnect Inc) - Online,N/A,None (or less,None (or less,,
,marketplace that invests in leased single-,,"than $1,001)",than $201),,
,"family rental homes in a transparent, low-",,,,,
,friction method / Direct investment with,,,,,
,private fund/company,,,,,
72.23,Boomtown Networks Inc Tranche 2 -,N/A,None (or less,None (or less,,
,Technical support services for local,,"than $1,001)",than $201),,
,businesses / Direct investment with private,,,,,
,fund/company,,,,,
72.24,Plutus Financial Inc. Tranche 2 - Develops,N/A,None (or less,None (or less,,
,"digital cash, peer to peer money transfer",,"than $1,001)",than $201),,
,network application / Direct investment with,,,,,
,private fund/company,,,,,
72.25,GoodWorld Inc - Technology startup,N/A,None (or less,None (or less,,
,company related to charitable donations /,,"than $1,001)",than $201),,
,Direct investment with private,,,,,
,fund/company,,,,,
72.26,Blend Labs Inc Tranche 2 - Mortgage lending,N/A,None (or less,None (or less,,
,industry / Direct investment with private,,"than $1,001)",than $201),,
,fund/company,,,,,
72.27,AvidXchange Inc - Provides accounts,N/A,None (or less,None (or less,,
,payable and payment automation solutions,,"than $1,001)",than $201),,
,for companies / Direct investment with,,,,,
,private fund/company,,,,,
72.28,Ladder Financial Inc - Life insurance / Direct,N/A,None (or less,None (or less,,
,investment with private fund/company,,"than $1,001)",than $201),,
72.29,KontrolScan Inc - Helps businesses to,N/A,None (or less,None (or less,,
,manage their various inter-company,,"than $1,001)",than $201),,
,relationships / Direct investment with,,,,,
,private fund/company,,,,,
72.3,Orchard App Inc Tranche 2 - Provides online,N/A,None (or less,None (or less,,
,lending market data and analytics /  Direct,,"than $1,001)",than $201),,
,investment with private fund/company,,,,,
72.31,CommonBond Inc - Tech-enabled lender,N/A,None (or less,None (or less,,
,that helps lower cost of student loans /,,"than $1,001)",than $201),,
,Direct investment with private,,,,,
,fund/company,,,,,
72.32,Clearmatics Technologies Ltd - Developing,N/A,None (or less,None (or less,,
,the next generation clearing and settlement,,"than $1,001)",than $201),,
,technology for financial OTC markets /,,,,,
,Direct investment with private,,,,,
,fund/company,,,,,
72.33,Mirador Financial Inc - Provider of small,N/A,None (or less,None (or less,,
,business lending platforms / Direct,,"than $1,001)",than $201),,
,investment with private fund/company,,,,,
72.34,ZenDrive Inc - Smartphone-powered road,N/A,None (or less,None (or less,,
,"safety for cities, fleets and individuals /",,"than $1,001)",than $201),,
,Direct investment with private,,,,,
,fund/company,,,,,
72.35,One True Holding Company Tranche 2 -,N/A,None (or less,None (or less,,
,Operates in the technology industry / Direct,,"than $1,001)",than $201),,
,investment with private fund/company,,,,,
72.36,"Mines.io, Inc - Operates a financial analytics",N/A,None (or less,None (or less,,
,platform for mobile data / Direct investment,,"than $1,001)",than $201),,
,with private fund/company,,,,,
72.37,AvidXchange Inc Tranche 2 - Provides,N/A,None (or less,None (or less,,
,accounts payable and payment automation,,"than $1,001)",than $201),,
,solutions for companies / Direct investment,,,,,
,with private fund/company,,,,,
72.38,Noble Markets LLC - Operates a technology,N/A,None (or less,None (or less,,
,platform that provides real-time clearance,,"than $1,001)",than $201),,
,and settlement to the FX spot markets /,,,,,
,Direct investment with private,,,,,
,fund/company,,,,,
72.39,Zero Financial Inc - Provides mobile banking,,N/A,None (or less,,None (or less
,services which combines debit-style,,,"than $1,001)",,than $201)
,functionality with credit card rewards /,,,,,
,Direct investment with private,,,,,
,fund/company,,,,,
72.4,Hello Digit Inc - Tranche 2 - Develops a,,N/A,None (or less,,None (or less
,mobile application that helps its users to,,,"than $1,001)",,than $201)
,interact with others and save money / Direct,,,,,
,investment with private fund/company,,,,,
72.41,Squawker Ltd Bridge Note - Facilitator of,,N/A,None (or less,,None (or less
,transaction-based asset allocation and,,,"than $1,001)",,than $201)
,collateral management / Direct investment,,,,,
,with private fund/company,,,,,
72.42,Revolution Credit Inc Tranche- 2 Bridge Note,,N/A,None (or less,,None (or less
,#NAME?,,,"than $1,001)",,than $201)
,lenders and consumers with the credit,,,,,
,decisioning process / Direct investment with,,,,,
,private fund/company,,,,,
72.43,Nvest Inc Tranche 2 - Crowdsourced stock,,N/A,None (or less,,None (or less
,recommendation platform / Direct,,,"than $1,001)",,than $201)
,investment with private fund/company,,,,,
72.44,EverCompliant Ltd Tranche 2 - Provides,,N/A,None (or less,,None (or less
,merchant fraud detection and monitoring /,,,"than $1,001)",,than $201)
,Direct investment with private,,,,,
,fund/company,,,,,
72.45,GoodWorld Inc Tranche 2 - Technology,,N/A,None (or less,,None (or less
,startup company related to charitable,,,"than $1,001)",,than $201)
,donations / Direct investment with private,,,,,
,fund/company,,,,,
73,PROGRESS ENERGY INC 7.05%,See Endnote,N/A,None (or less,Interest,"$2,501 - $5,000"
,,,,"than $1,001)",,
74,DELAWARE CNTY PA REG 5.25% 5/01/20,,N/A,"$500,001 -",Interest,"$50,001 -"
,,,,"$1,000,000 ",,"$100,000 "
75,TOMPKINS CNTY NY DEV 5.0% 7/01/20,,N/A,"$500,001 -",Interest,"$50,001 -"
,,,,"$1,000,000 ",,"$100,000 "
76,ERIE CNTY NY INDL DEV 5.0% 5/01/19,,N/A,"$500,001 -",Interest,"$50,001 -"
,,,,"$1,000,000 ",,"$100,000 "
77,NEW JERSEY ST ECON D 5.0% 3/01/20,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
78,MET TRANSPRTN AUTH NY 4.0% 11/15/34,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
79,ALLEGHENY CNTY PA 4.0% 12/01/17,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
80,CONNECTICUT ST SPL TAX 5.0% 10/01/21,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",Capital Gains,"$100,000 ",
81,NEW YORK ST DORM AUTH 5.0% 4/01/22,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
82,MICHIGAN ST 5.0% 3/15/22,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
83,ISHARES RUSSELL 3000 ETF,Yes,"$1,000,001 -",,"$100,001 -",
,,,"$5,000,000 ",,"$1,000,000 ",
84,NEW YORK ST DORM AUT 5.0% 5/15/17,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
85,MIAMI-DADE CNTY FL SOL 5.0% 10/01/20,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
86,ISHARES MSCI EAFE ETF,Yes,"$25,000,001 -",,"$1,000,001 -",
,,,"$50,000,000 ",,"$5,000,000 ",
87,TEXAS ST TRANSPRTN C 5.0% 8/15/42,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
88,CHICAGO IL O'HARE IN 5.0% 1/01/20,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
89,"CENTRAL UNIFIED SCH DISTRICT, FRESNO",N/A,"$250,001 -",Interest,None (or less,
,"COUNTY, CA 0.001% 3/01/18",,"$500,000 ",,than $201),
90,HARRIS CNTY-HOUSTON TX 5.0% 11/15/19,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
91,ANHEUSER BUSCH-INBEV 1.9% 2/01/19,N/A,"$100,001 -",Interest,"$5,001 - $15,000",
,,,"$250,000 ",,,
92,SAINT MARY HOSP AUTH 5.0% 11/15/19,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
93,CHAIT 2016-A6 A6 1.1% 1/15/20,N/A,"$250,001 -",Interest,"$5,001 - $15,000",
,,,"$500,000 ",,,
94,FLORIDA ST BRD OF AD 2.638% 7/01/21,N/A,"$100,001 -",Interest,"$5,001 - $15,000",
,,,"$250,000 ",,,
95,FIFTH THIRD BK CIN OHI 2.3% 3/15/19,N/A,"$100,001 -",Interest,"$5,001 - $15,000",
,,,"$250,000 ",,,
96,MIAMI UNIV OH 5.0% 9/01/18,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
97,MASSACHUSETTS ST 2.83405% 1/01/17,N/A,"$250,001 -",Interest,"$5,001 - $15,000",
,,,"$500,000 ",,,
98,A T & T INC 2.8% 2/17/21,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
99,APPLE INC 2.25% 2/23/21,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
100,SAINT LOUIS PARK MN 5.5% 7/01/23,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
101,PRUDENTIAL FINANCIAL 5.375% 6/21/20,N/A,"$100,001 -",Interest,"$15,001 -",
,,,"$250,000 ",,"$50,000 ",
102,NEW YORK ST CONVENTI 5.0% 11/15/19,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
103,MARATHON PETROLEUM COR 3.4%,N/A,"$250,001 -",Interest,"$15,001 -",
,12/15/20,,"$500,000 ",,"$50,000 ",
104,BUILD NYC RESOURCE C 5.0% 6/01/20,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
105,VERIZON COMMUNICATION 3.65% 9/14/18,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
106,COOK CNTY IL 5.0% 11/15/18,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
107,BNY MELLON NATL INTM MUNI-M,Yes,"$250,001 -",,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
108,GWINNETT CNTY GA DEV 5.25% 1/01/19,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
109,BSCMS 2007-PW17 A4 5.694% 6/11/50,N/A,"$100,001 -",Interest,"$15,001 -",
,,,"$250,000 ",,"$50,000 ",
110,BAY AREA CA TOLL AUT 1.5% 4/01/47,N/A,"$500,001 -",Interest,"$15,001 -",
,,,"$1,000,000 ",,"$50,000 ",
111,DELAWARE VALLEY PA REG 5.6% 7/01/17,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
112,SW AIRLINES 07-1 TR 6.15% 8/01/22,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
113,NEW YORK ST THRUWAY 5.0% 5/01/19,N/A,"$1,000,001 -",Interest,"$100,001 -",
,,,"$5,000,000 ",,"$1,000,000 ",
114,NEW YORK NY 2.62472% 8/01/17,N/A,"$500,001 -",Interest,"$15,001 -",
,,,"$1,000,000 ",,"$50,000 ",
115,U S BANCORP 5.125% 12/25/50,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
116,"CRA (BNY MELLON, N.A., MEMBER FDIC)",N/A,"$5,000,001 -",Interest,"$100,001 -",
,,,"$25,000,000 ",,"$1,000,000 ",
117,DELTA AIR LINES 2011 5.3% 4/15/19,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
118,NEW JERSEY ST TRANSPRT 5.0% 6/15/20,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
119,ILLINOIS ST 5.0% 3/01/22,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
120,GCCFC 2007-GG11 A4 5.736% 12/10/49,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
121,CSMC 2007-C4 A4 6.1338% 9/15/39,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
122,13 PARTNERS PE 4 LP,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
122.1,Blade Therapeutics,N/A,,,None (or less,
,,,,,than $201),
122.2,Editas Medicine,N/A,,,None (or less,
,,,,,than $201),
122.3,FV Aircraft,N/A,,,None (or less,
,,,,,than $201),
122.4,Graybug Vision,N/A,,,None (or less,
,,,,,than $201),
122.5,Hallux,N/A,,,None (or less,
,,,,,than $201),
122.6,Headspace,N/A,,,None (or less,
,,,,,than $201),
122.7,Homology,N/A,,,None (or less,
,,,,,than $201),
122.8,Mtrap,N/A,,,None (or less,
,,,,,than $201),
122.9,Pre-Settlement Litigation,N/A,,,None (or less,
,,,,,than $201),
122.1,Prime Auto Loan,N/A,,,None (or less,
,,,,,than $201),
122.11,Ribon Therapeutics,N/A,,,None (or less,
,,,,,than $201),
122.12,TIDI Products,N/A,,,None (or less,
,,,,,than $201),
122.13,TriNetX,N/A,,,None (or less,
,,,,,than $201),
123,MASSACHUSETTS ST WTR 6.5% 7/15/19,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
124,NEW JERSEY ST TRANSPRT 5.0% 6/15/18,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
125,AMERERICAN AIRLINES 4.95% 1/15/23,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
126,MORGAN STANLEY 6.625% 4/01/18,N/A,"$250,001 -",Interest,"$15,001 -",
,,,"$500,000 ",,"$50,000 ",
127,NEW YORK ST ENVRNMNT 4.339% 6/15/18,N/A,"$500,001 -",Interest,"$15,001 -",
,,,"$1,000,000 ",,"$50,000 ",
128,CHICAGO IL TRANSIT AUT 5.0% 6/01/17,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
129,CLEAR CREEK TX INDEP 3.0% 2/15/32,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
130,NEW YORK CITY NY TRA 5.0% 5/01/21,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
131,MAIN STR NAT GAS INC 5.0% 3/15/18,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
132,NEW YORK ST LOC ASSIST 5.5% 4/01/17,N/A,"$250,001 -",Interest,"$50,001 -",
,,,"$500,000 ",,"$100,000 ",
133,CALIFORNIA ST HLTH F 5.0% 7/01/43,N/A,"$500,001 -",Interest,"$50,001 -",
,,,"$1,000,000 ",,"$100,000 ",
134,13 PARTNERS PE 3 LP,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
134.1,AAC Holdings,N/A,,,None (or less,
,,,,,than $201),
134.2,Acutus,N/A,,,None (or less,
,,,,,than $201),
134.3,Advantia Health,N/A,,,None (or less,
,,,,,than $201),
134.4,Aerie,N/A,,,None (or less,
,,,,,than $201),
134.5,Akari Therapeutics,N/A,,,None (or less,
,,,,,than $201),
134.6,Aladdin Group,N/A,,,None (or less,
,,,,,than $201),
134.7,Alimera Sciences,N/A,,,None (or less,
,,,,,than $201),
134.8,Aprecia,N/A,,,None (or less,
,,,,,than $201),
134.9,Aralez Parmaceuticals,N/A,,,None (or less,
,,,,,than $201),
134.1,Arizona Nutritional,N/A,None (or less,,,
,,,than $201),,,
134.11,Atlantic Navigation,N/A,None (or less,,,
,,,than $201),,,
134.12,aTyr Pharma,N/A,None (or less,,,
,,,than $201),,,
134.13,Audentes Therapeutics,N/A,None (or less,,,
,,,than $201),,,
134.14,Avalanche Biotech,N/A,None (or less,,,
,,,than $201),,,
134.15,AveXis,N/A,None (or less,,,
,,,than $201),,,
134.16,BioSpecifics,N/A,None (or less,,,
,,,than $201),,,
134.17,Aziyo Biologics,N/A,None (or less,,,
,,,than $201),,,
134.18,Blade Therapeutics,N/A,None (or less,,,
,,,than $201),,,
134.19,BookMyShow,N/A,None (or less,,,
,,,than $201),,,
134.2,Breathe Technologies,N/A,None (or less,,,
,,,than $201),,,
134.21,Califia Farms,N/A,None (or less,,,
,,,than $201),,,
134.22,Carrizo,N/A,None (or less,,,
,,,than $201),,,
134.23,Chevron,N/A,None (or less,,,
,,,than $201),,,
134.24,Claytonville,N/A,None (or less,,,
,,,than $201),,,
134.25,Coates Offshore,N/A,None (or less,,,
,,,than $201),,,
134.26,Conventus Orthopedics,N/A,None (or less,,,
,,,than $201),,,
134.27,Cureatr,N/A,None (or less,,,
,,,than $201),,,
134.28,CytomX Therapeutics,N/A,None (or less,,,
,,,than $201),,,
134.29,David Lloyd Leisure,N/A,None (or less,,,
,,,than $201),,,
134.3,Dendreon,N/A,None (or less,,,
,,,than $201),,,
134.31,Depomed,N/A,None (or less,,,
,,,than $201),,,
134.32,DTC Logistics,N/A,None (or less,,,
,,,than $201),,,
134.33,Editas Medicine,N/A,None (or less,,,
,,,than $201),,,
134.34,EndoChoice,N/A,None (or less,,,
,,,than $201),,,
134.35,Equality Health,N/A,None (or less,,,
,,,than $201),,,
134.36,ESCO,N/A,None (or less,,,
,,,than $201),,,
134.37,ESSA,N/A,None (or less,,,
,,,than $201),,,
134.38,Euro Garages,N/A,None (or less,,,
,,,than $201),,,
134.39,European Forecourt,N/A,None (or less,,,
,,,than $201),,,
134.4,Exelixis,N/A,None (or less,,,
,,,than $201),,,
134.41,Flatiron Health,N/A,None (or less,,,
,,,than $201),,,
134.42,Fractyl Labs,N/A,None (or less,,,
,,,than $201),,,
134.43,Genesis Financial,N/A,None (or less,,,
,,,than $201),,,
134.44,Global Blood,N/A,None (or less,,,
,,,than $201),,,
134.45,Global Wide Media,N/A,None (or less,,,
,,,than $201),,,
134.46,GoFundMe,N/A,None (or less,,,
,,,than $201),,,
134.47,Graybug Vision,N/A,None (or less,,,
,,,than $201),,,
134.48,Hallux,N/A,None (or less,,,
,,,than $201),,,
134.49,Headspace,N/A,None (or less,,,
,,,than $201),,,
134.5,Homology,N/A,None (or less,,,
,,,than $201),,,
134.51,Hurtigruten,N/A,None (or less,,,
,,,than $201),,,
134.52,IFS Holdings,N/A,None (or less,,,
,,,than $201),,,
134.53,IMO Car Wash Group,N/A,None (or less,,,
,,,than $201),,,
134.54,Itamar Medical,N/A,None (or less,,,
,,,than $201),,,
134.55,J.S. Held,N/A,None (or less,,,
,,,than $201),,,
134.56,Jack's Winches,N/A,None (or less,,,
,,,than $201),,,
134.57,Johnny Was,N/A,None (or less,,,
,,,than $201),,,
134.58,Keepmoat,N/A,None (or less,,,
,,,than $201),,,
134.59,Kempharm,N/A,None (or less,,,
,,,than $201),,,
134.6,Ketra,N/A,None (or less,,,
,,,than $201),,,
134.61,Kimbrel,N/A,None (or less,,,
,,,than $201),,,
134.62,Lannett,N/A,None (or less,,,
,,,than $201),,,
134.63,Latham Pool Products,N/A,None (or less,,,
,,,than $201),,,
134.64,Leaseplan,N/A,None (or less,,,
,,,than $201),,,
134.65,LSQ Funding,N/A,None (or less,,,
,,,than $201),,,
134.66,Lumeris,N/A,None (or less,,,
,,,than $201),,,
134.67,Lumos,N/A,None (or less,,,
,,,than $201),,,
134.68,LYMI,N/A,None (or less,,,
,,,than $201),,,
134.69,MedAvail,N/A,None (or less,,,
,,,than $201),,,
134.7,Mtrap,N/A,None (or less,,,
,,,than $201),,,
134.71,NeoChord,N/A,None (or less,,,
,,,than $201),,,
134.72,Neos Therapeutics,N/A,None (or less,,,
,,,than $201),,,
134.73,Oil Patch Group,N/A,None (or less,,,
,,,than $201),,,
134.74,Optimax,N/A,None (or less,,,
,,,than $201),,,
134.75,Pacific Market,N/A,None (or less,,,
,,,than $201),,,
134.76,Port Logistics Group,N/A,None (or less,,,
,,,than $201),,,
134.77,ProKarma,N/A,None (or less,,,
,,,than $201),,,
134.78,Proteon,N/A,None (or less,,,
,,,than $201),,,
134.79,Pyramid Analytics,N/A,None (or less,,,
,,,than $201),,,
134.8,RCA,N/A,None (or less,,,
,,,than $201),,,
134.81,Redbrick Health,N/A,None (or less,,,
,,,than $201),,,
134.82,REGENXBIO,N/A,None (or less,,,
,,,than $201),,,
134.83,Remitly,N/A,None (or less,,,
,,,than $201),,,
134.84,Rhythm Metabolic,N/A,None (or less,,,
,,,than $201),,,
134.85,Ribon Therapeutics,N/A,None (or less,,,
,,,than $201),,,
134.86,Seanic Ocean Systems,N/A,None (or less,,,
,,,than $201),,,
134.87,Shelf Subsea,N/A,None (or less,,,
,,,than $201),,,
134.88,SHINE Medical Tech,N/A,None (or less,,,
,,,than $201),,,
134.89,Shockwave,N/A,None (or less,,,
,,,than $201),,,
134.9,Spark Therapeutics,N/A,None (or less,,,
,,,than $201),,,
134.91,SteadyMed,N/A,None (or less,,,
,,,than $201),,,
134.92,SundaySky,N/A,None (or less,,,
,,,than $201),,,
134.93,Synergy Pharmaceuticals,N/A,None (or less,,,
,,,than $201),,,
134.94,Synlogic,N/A,None (or less,,,
,,,than $201),,,
134.95,Syros,N/A,None (or less,,,
,,,than $201),,,
134.96,Temperatsure,N/A,None (or less,,,
,,,than $201),,,
134.97,Texas Hydraulics,N/A,None (or less,,,
,,,than $201),,,
134.98,The Black Tux,N/A,None (or less,,,
,,,than $201),,,
134.99,Travelers,N/A,None (or less,,,
,,,than $201),,,
134.1,TriNetX,N/A,None (or less,,,
0,,,than $201),,,
134.1,Trinity Biotech,N/A,None (or less,,,
1,,,than $201),,,
134.1,TriStar Water,N/A,None (or less,,,
2,,,than $201),,,
134.1,Udemy,N/A,None (or less,,,
3,,,than $201),,,
134.1,USNR,N/A,None (or less,,,
4,,,than $201),,,
134.1,Variperm,N/A,None (or less,,,
5,,,than $201),,,
134.1,VATBox,N/A,,None (or less,,
6,,,,than $201),,
134.1,Vigor Industrial,N/A,,None (or less,,
7,,,,than $201),,
134.1,Vital Access,N/A,,None (or less,,
8,,,,than $201),,
134.1,Voyager Therapeutics,N/A,,None (or less,,
9,,,,than $201),,
134.11,WC Strategic Opportunity,N/A,,None (or less,,
0,,,,than $201),,
134.11,Worldwide Facilities,N/A,,None (or less,,
1,,,,than $201),,
134.11,WTS Rentals,N/A,,None (or less,,
2,,,,than $201),,
134.11,Xeris Pharmaceuticals,N/A,,None (or less,,
3,,,,than $201),,
134.11,ZoomCare,N/A,,None (or less,,
4,,,,than $201),,
135,13 Partners Private Equity 2008,No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
135.1,9x Media,N/A,,None (or less,,
,,,,than $201),,
135.2,Acadia Healthcare,N/A,,None (or less,,
,,,,than $201),,
135.3,Access Point,N/A,,None (or less,,
,,,,than $201),,
135.4,Aderant,N/A,,None (or less,,
,,,,than $201),,
135.5,Adreima,N/A,,None (or less,,
,,,,than $201),,
135.6,Aeronautics,N/A,,None (or less,,
,,,,than $201),,
135.7,Aesynt,N/A,None (or less,,,
,,,than $201),,,
135.8,AloStar Bank,N/A,None (or less,,,
,,,than $201),,,
135.9,Amiad,N/A,None (or less,,,
,,,than $201),,,
135.1,Amonix,N/A,None (or less,,,
,,,than $201),,,
135.11,Apex Parks Group,N/A,None (or less,,,
,,,than $201),,,
135.12,Argon Medical Devices,N/A,None (or less,,,
,,,than $201),,,
135.13,Ascend Telecom,N/A,None (or less,,,
,,,than $201),,,
135.14,Aster,N/A,None (or less,,,
,,,than $201),,,
135.15,Atrium Underwriting,N/A,None (or less,,,
,,,than $201),,,
135.16,Augere,N/A,None (or less,,,
,,,than $201),,,
135.17,Avalon and Landmark,N/A,None (or less,,,
,,,than $201),,,
135.18,Avangate,N/A,None (or less,,,
,,,than $201),,,
135.19,Barracuda Networks,N/A,None (or less,,,
,,,than $201),,,
135.2,Bastion Security,N/A,None (or less,,,
,,,than $201),,,
135.21,Beckman Production,N/A,None (or less,,,
,,,than $201),,,
135.22,Betterment,N/A,None (or less,,,
,,,than $201),,,
135.23,Bolder Healthcare,N/A,None (or less,,,
,,,than $201),,,
135.24,Broder Bros.,N/A,None (or less,,,
,,,than $201),,,
135.25,Burtek,N/A,None (or less,,,
,,,than $201),,,
135.26,BWAY,N/A,None (or less,,,
,,,than $201),,,
135.27,C3,N/A,None (or less,,,
,,,than $201),,,
135.28,Care Services,N/A,None (or less,,,
,,,than $201),,,
135.29,Carson Air,N/A,None (or less,,,
,,,than $201),,,
135.3,Centennial Towers,N/A,None (or less,,,
,,,than $201),,,
135.31,Center for Vein Restoration,N/A,None (or less,,,
,,,than $201),,,
135.32,CFGI,N/A,None (or less,,,
,,,than $201),,,
135.33,Citco Group,N/A,None (or less,,,
,,,than $201),,,
135.34,Coffee Day,N/A,None (or less,,,
,,,than $201),,,
135.35,Complete Innovations,N/A,None (or less,,,
,,,than $201),,,
135.36,Confluent Health,N/A,None (or less,,,
,,,than $201),,,
135.37,Conserve Oilfield Services,N/A,None (or less,,,
,,,than $201),,,
135.38,Contech,N/A,None (or less,,,
,,,than $201),,,
135.39,Cordant Health,N/A,None (or less,,,
,,,than $201),,,
135.4,Corsair,N/A,None (or less,,,
,,,than $201),,,
135.41,CORVA,N/A,None (or less,,,
,,,than $201),,,
135.42,CoverMyMeds,N/A,None (or less,,,
,,,than $201),,,
135.43,Cross Match,N/A,None (or less,,,
,,,than $201),,,
135.44,CyberGrants,N/A,None (or less,,,
,,,than $201),,,
135.45,Degania,N/A,None (or less,,,
,,,than $201),,,
135.46,Destimoney Enterprises,N/A,None (or less,,,
,,,than $201),,,
135.47,Dimensional Dental,N/A,None (or less,,,
,,,than $201),,,
135.48,Direct ChassisLink,N/A,None (or less,,,
,,,than $201),,,
135.49,Duff & Phelps,N/A,None (or less,,,
,,,than $201),,,
135.5,Eagle Point Credit,N/A,None (or less,,,
,,,than $201),,,
135.51,Efront,N/A,None (or less,,,
,,,than $201),,,
135.52,Enhanced Capital,N/A,None (or less,,,
,,,than $201),,,
135.53,Enstar Group,N/A,None (or less,,,
,,,than $201),,,
135.54,ESL/Beaconhouse,N/A,None (or less,,,
,,,than $201),,,
135.55,Esolutions,N/A,None (or less,,,
,,,than $201),,,
135.56,EVO Payments,N/A,None (or less,,,
,,,than $201),,,
135.57,Fabco,N/A,None (or less,,,
,,,than $201),,,
135.58,Fieldglass,N/A,None (or less,,,
,,,than $201),,,
135.59,Financial Pacific,N/A,None (or less,,,
,,,than $201),,,
135.6,First Data Holdings,N/A,None (or less,,,
,,,than $201),,,
135.61,Forum Energy Technologies,N/A,None (or less,,,
,,,than $201),,,
135.62,Freepoint Commodities,N/A,None (or less,,,
,,,than $201),,,
135.63,Gaon Holdings,N/A,None (or less,,,
,,,than $201),,,
135.64,GeoVera Insurance,N/A,None (or less,,,
,,,than $201),,,
135.65,GeoVera Insurance,N/A,None (or less,,,
,,,than $201),,,
135.66,Great AJAX Holdings,N/A,None (or less,,,
,,,than $201),,,
135.67,GSE Environmental,N/A,None (or less,,,
,,,than $201),,,
135.68,Guerdon Modular,N/A,None (or less,,,
,,,than $201),,,
135.69,Gulf Coast Shipyard Group,N/A,None (or less,,,
,,,than $201),,,
135.7,Gypsum Technologies,N/A,None (or less,,,
,,,than $201),,,
135.71,Haystax Technology,N/A,None (or less,,,
,,,than $201),,,
135.72,HCBF,N/A,None (or less,,,
,,,than $201),,,
135.73,Heligear,N/A,None (or less,,,
,,,than $201),,,
135.74,Henniges Automotive,N/A,None (or less,,,
,,,than $201),,,
135.75,Hodges-Mace Benefits,N/A,None (or less,,,
,,,than $201),,,
135.76,Hospice Partners,N/A,None (or less,,,
,,,than $201),,,
135.76,Hostway,N/A,None (or less,,,
0.1,,,than $201),,,
135.77,IBP,N/A,None (or less,,,
,,,than $201),,,
135.78,Ichor,N/A,None (or less,,,
,,,than $201),,,
135.79,Ikaria,N/A,None (or less,,,
,,,than $201),,,
135.8,iMer,N/A,None (or less,,,
,,,than $201),,,
135.81,Implement Holdings,N/A,None (or less,,,
