6. Other Assets and Income,,,,,
# DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
11.48,VANGUARD FTSE EMERG MKT (VWO),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.49,AQR MANAGED FUTURES (AQMIX),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.5,BLACKROCK GLOBAL LONG SHORT FUND,Yes,"$1,001 - $15,000",,None (or less
,(BGCIX),,,,than $201)
11.51,BOSTON PARTNERS LONG SHORT FUND,Yes,"$1,001 - $15,000",,None (or less
,(BPIRX),,,,than $201)
11.52,EATON VANCE GLOBAL MACRO (EIGMX),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.53,NEUBERGER BERMAN LONG SHORT FUND,Yes,"$1,001 - $15,000",,None (or less
,(NLSIX),,,,than $201)
11.54,ALERIAN MLP FUND (MLPI),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.55,T. ROWE PRICE REAL ESTATE FUND (TRREX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
11.56,VANGUARD REIT VIPER (VNQ),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.57,VOYA INTL REAL ESTATE FUND (IIRIX),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.58,United Parcel Service Inc B,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
12,Richard T. Short Rev Trust,,"$500,001 -",Dividends,"$15,001 -"
,,,"$1,000,000 ",Capital Gains,"$50,000 "
,,,,Interest,
12.1,Walt Disney Co,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
12.2,Home Depot Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
12.3,Altria Group Inc,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.4,KRAFT HEINZ GROUP (KHC),N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.5,Philip Morris International,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.6,Chevron Corp,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.7,EOG Resources,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.8,Phillips 66,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.9,BlackRock Inc,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.1,Capital One Financial,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.11,SunTrust Banks Inc (GA),N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.12,WELLS FARGO (WFI),N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.13,Celgene Corporation - Common Stock,N/A,"$15,001 -",Dividends,None (or less
,,,"$50,000 ",,than $201)
12.14,Johnson & Johnson,N/A,"$15,001 -",Dividends,None (or less
,,,"$50,000 ",,than $201)
12.15,Pfizer Inc,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.16,Thermo Fisher Scientific,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.17,General Electric Co,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.18,Honeywell Intl Inc,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
12.19,Rockwell Automation Inc,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.2,Apple Inc. - Common Stock,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.21,Hewlett-Packard Co,N/A,"$50,001 -",Dividends,"$201 - $1,000"
,,,"$100,000 ",,
12.22,HP INC,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.23,Intel Corporation - Common Stock,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.24,Intl Business Machines Corp,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
12.25,Visa Inc,N/A,"$50,001 -",Dividends,"$201 - $1,000"
,,,"$100,000 ",,
12.26,iShares S&P 500 Index,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
12.27,iShares Dow Jones US Aerospace & Defense,Yes,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
12.28,BP PLC,N/A,"$1,001 - $15,000",Dividends,None (or less
,,,,,than $201)
12.29,ROYAL BANK OF MONTREAL (RY),N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
12.3,Medtronic Inc,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
12.31,iShares Core MSCI Emerging Markets ETF,Yes,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
12.32,iShares Barclays Intermediate Credit Bd,Yes,"$50,001 -",,"$201 - $1,000"
,,,"$100,000 ",,
12.33,GENERAL MOTORS CORP 8.375% 7/15/33,N/A,None (or less,,None (or less
,,,"than $1,001)",,than $201)
